"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"CSTF2T"	576.723653052695	0.70544906139963	0.203330720673579	3.46946619311961	0.000521493693620408	0.0429914938586893	"UP"
"CTNNA1"	3074.14803693481	1.1979548163196	0.319396819568906	3.75067860079665	0.000176356635387606	0.0322291627410119	"UP"
"CTSV"	29.5589385189234	2.72816633959212	0.596108314917581	4.57662856115222	4.72529364416411e-06	0.00932334173568624	"UP"
"CUBN"	69.2141499363048	-0.85674857520336	0.225306757311923	-3.80258712798944	0.00014319288258243	0.0296695317714326	"DOWN"
"CYB5R2"	179.952199967042	1.89798653525025	0.549348053123949	3.45497999757544	0.000550333649264004	0.0430210709652246	"UP"
"CYP2E1"	110.159774224766	-0.81839941119476	0.177957924535804	-4.59883656954036	4.24856900605535e-06	0.00932334173568624	"DOWN"
"DBNDD2"	293.132247722347	1.58795528574981	0.444185551155958	3.57498185525684	0.000350252186121244	0.038205223867078	"UP"
"DHCR24"	2907.85809050346	0.672958687687215	0.190620381604862	3.53036061527877	0.000414993613138711	0.0401881699931595	"UP"
"DHCR7"	747.812607951583	1.26859213620325	0.329776117524841	3.84682840505482	0.000119656710219315	0.0288787426649974	"UP"
"DHRS7"	331.351972686613	0.413165711534477	0.115157923141725	3.58781836509845	0.000333456447711387	0.0374492138109121	"UP"
"DIP2B"	3342.87004278654	1.37242936456885	0.391231759270857	3.50797023004129	0.00045153957572077	0.0406901929139087	"UP"
"DIPK1C"	345.296600752988	1.70028333239819	0.446222126416288	3.81039673234842	0.00013874395932212	0.0296695317714326	"UP"
"DIXDC1"	1216.08560404138	1.06726683729451	0.291394512544112	3.66261817347349	0.00024965052065609	0.035612604467791	"UP"
"DMBT1"	28.3698034379686	1.94604891307523	0.526360334254115	3.69718002370545	0.000218007746397788	0.0341971461504668	"UP"
"DMRT2"	54.1232825313618	2.20824602325046	0.584068558736656	3.78079934319167	0.000156325633505337	0.0296695317714326	"UP"
"DMRTA2"	22.9839417280796	2.13360756869901	0.600951207142102	3.55038403008731	0.000384669571839501	0.0389602496526454	"UP"
